,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
0,Albania,ALB,105.135145985401,10970.4522447693,2923352.0,1654503,1226200,57.434,42.566002000000005,78.17399999999999,36.200001,World,150,Europe,39,Southern Europe,,Albania,8,Developed,Albania,494,25.0,251.0,218,5.0,172.0,9.0,4558.0,1584.0,2872093,90.0,20.0,80.0,70.0,61.0,15.0,Albania,1586736000,446.0,20.0,6.100318952020064,0.0001552874506501008,-8.770232638221513,5.147494476813453,0.06895363065909407,4.882267593022246,0.9723089811658873,1.8721544250422642e-13,0.003802182723684259,0.06895363065909405,-9.988283997219328,0.9723089811658872,1.872154425042344e-13,0.003802182723684266
1,Algeria,DZA,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,World,2,Africa,15,Northern Africa,,Algeria,12,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0,Algeria,1586649600,1825.0,20.0,7.509335266016592,4.1400462637125986e-05,-10.092218502385636,3.8918202981106265,0.13491438022416047,5.132274931223765,0.976641269608735,3.7818371978444735e-14,0.006809808767953988,0.1349143802241605,-12.469278837178463,0.9766412696087352,3.781837197844124e-14,0.006809808767953955
2,Argentina,ARG,15.8650650968871,19116.907914513202,43417765.0,39728558,3689207,91.50299999999999,8.496999699999998,76.415,30.799999,World,19,Americas,419,Latin America and the Caribbean,South America,Argentina,32,Developing,Argentina,2571,112.0,596.0,1863,117.0,57.0,2.0,24374.0,539.0,45105263,49.0,46.0,56.0,86.0,20.0,62.0,Argentina,1586390400,1795.0,20.0,7.492760300922379,3.979579943919183e-05,-10.13174919297265,4.04305126783455,0.12671035373388556,5.254524986843202,0.9702530357580482,3.667343814640193e-13,0.007253249570612382,0.12671035373388556,-12.369984507051829,0.9702530357580481,3.6673438146403374e-13,0.0072532495706123966
3,Armenia,ARM,102.456972251493,8195.93364956571,2916950.0,1840158,1076792,63.085,36.915001000000004,74.445,33.900002,World,142,Asia,145,Western Asia,,Armenia,51,Developing,Armenia,1111,17.0,297.0,797,30.0,375.0,6.0,9095.0,3069.0,2962667,,,,,61.0,,Armenia,1586304000,853.0,20.0,6.748759547491679,0.0002879162592353444,-8.15284088665306,5.926926025970411,0.1074986318654022,4.822518414264301,0.9881842089664429,6.098904594979727e-17,0.003825145309924215,0.10749863186540223,-10.079082019880438,0.988184208966443,6.098904594979205e-17,0.0038251453099241973
4,Australia,AUS,3.10464105801648,43923.2582693466,23799556.0,20440360,3410424,85.70100000000001,14.299000000000001,82.4,37.400002,World,9,Oceania,53,Australia and New Zealand,,Australia,36,Developed,Australia,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,38.0,90.0,61.0,51.0,21.0,71.0,Australia,1585526400,4093.0,20.0,8.317033476492403,0.00016024899397067564,-8.7387817400573,5.53338948872752,0.2045943483382891,4.5186607076415655,0.9953341496163376,9.197708707108824e-21,0.004550102177856451,0.2045943483382891,-12.537154508908138,0.9953341496163376,9.197708707108824e-21,0.004550102177856451
5,Austria,AUT,104.730790203943,44304.967756787,8678657.0,4988134,3654565,57.715,42.285,81.19024390243901,43.200001,World,150,Europe,155,Western Europe,,Austria,40,Developed,Austria,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,11.0,55.0,79.0,70.0,60.0,63.0,Austria,1585440000,8291.0,20.0,9.022925868116218,0.0009203876351677107,-6.990715634087446,7.373374309910049,0.22359330445286069,4.971942596283061,0.9881597834026368,6.219147791143309e-17,0.0079645324305858,0.22359330445286069,-11.041698905920601,0.9881597834026365,6.21914779114446e-17,0.007964532430585876
6,Belgium,BEL,372.33143989432,41708.2123401731,11287940.0,11034732,239464,97.876,2.1240001,80.9926829268293,41.299999,World,150,Europe,155,Western Europe,,Belgium,56,Developed,Belgium,33573,4440.0,7107.0,22026,1204.0,2897.0,383.0,128132.0,11056.0,11588885,65.0,75.0,54.0,94.0,82.0,57.0,Belgium,1585267200,6235.0,20.0,8.737933858114136,0.0005380155209064548,-7.527623148950118,7.9714309977693505,0.1988612822438669,4.873602360833866,0.9971756530086164,7.86391064640367e-23,0.0034361247771333087,0.19886128224386687,-11.39195464623039,0.9971756530086163,7.863910646406631e-23,0.003436124777133376
7,Bosnia and Herzegovina,BIH,69.06173828125,10932.4594822386,3535961.0,1668019,1867942,47.173,52.827,76.735,41.0,World,150,Europe,39,Southern Europe,,Bosnia and Herzegovina,70,Developed,Bosnia and Herzegovina,1110,41.0,253.0,816,4.0,338.0,12.0,13339.0,4066.0,3284024,,,,,70.0,44.0,Bosnia and Herzegovina,1586649600,948.0,20.0,6.854354502255021,0.0002886702411431829,-8.15022555543351,5.823045895483019,0.10802975210485216,4.914920565287747,0.9846478636988482,7.236347999936931e-16,0.004393511579231542,0.10802975210485216,-10.089659492400784,0.9846478636988482,7.236347999936931e-16,0.004393511579231543
8,Brazil,BRA,24.6420983615972,14702.5912680317,205962108.0,176653700,29308408,85.77,14.23,75.28399999999999,31.299999,World,19,Americas,419,Latin America and the Caribbean,South America,Brazil,76,Developing,Brazil,28912,1760.0,14026.0,13126,296.0,136.0,8.0,62985.0,296.0,212588235,69.0,38.0,49.0,76.0,44.0,59.0,Brazil,1585958400,9056.0,20.0,9.111182800442965,4.259878257138736e-05,-10.063684883233758,4.912654885736052,0.20602047600789766,5.304915083043442,0.9795577742032187,1.0773792233220756e-14,0.009706255323091852,0.20602047600789766,-13.86995260063328,0.9795577742032189,1.0773792233219606e-14,0.009706255323091797
9,Bulgaria,BGR,66.12003500368459,17000.1780380679,7177396.0,5310996,1866995,73.99,26.01,74.6146341463415,43.5,World,150,Europe,151,Eastern Europe,,Bulgaria,100,Developed,Bulgaria,747,36.0,105.0,606,31.0,108.0,5.0,18502.0,2663.0,6916667,70.0,30.0,40.0,85.0,69.0,16.0,Bulgaria,1586390400,593.0,20.0,6.385194398997726,8.573493562723202e-05,-9.364250165167917,4.68213122712422,0.08069625665358521,4.939485586096071,0.977594364345894,2.555266945306925e-14,0.003986255596391489,0.0806962566535852,-10.80995897806957,0.9775943643458941,2.555266945306816e-14,0.003986255596391477
10,Burkina Faso,BFA,66.1938011695906,1596.3345805199601,18110624.0,4985855,13124769,27.53,72.470001,59.927,17.0,World,2,Africa,202,Sub-Saharan Africa,Western Africa,Burkina Faso,854,Developing,Burkina Faso,542,32.0,226.0,284,,26.0,2.0,,,20846154,70.0,15.0,50.0,55.0,27.0,18.0,Burkina Faso,1586908800,528.0,20.0,6.269096283706261,2.5328413097207285e-05,-10.58358374505625,3.258096538021482,0.0730035579466031,4.956522069443028,0.9801598610990695,8.129047594864614e-15,0.003386825283494105,0.07300355794660311,-11.896157959319485,0.9801598610990696,8.12904759486418e-15,0.0033868252834940945
11,Canada,CAN,3.9404490675217794,43149.4758370305,35949709.0,29117142,6715371,81.259,18.740999,82.1290243902439,40.5,World,19,Americas,21,Northern America,,Canada,124,Developed,Canada,28379,1010.0,8979.0,18390,557.0,752.0,27.0,467736.0,12393.0,37738032,39.0,80.0,52.0,48.0,36.0,68.0,Canada,1585699200,8536.0,20.0,9.05204779298159,0.00022619091530793126,-8.394131157299514,6.62273632394984,0.22063579839938754,4.845644025117545,0.9956825490832053,4.4063630206583595e-21,0.004718866781668391,0.22063579839938754,-12.600534925163561,0.9956825490832053,4.4063630206583595e-21,0.004718866781668392
12,Chile,CHL,23.8895985646885,22516.6078575125,17762681.0,15517478,2245203,87.36,12.64,79.315,33.700001,World,19,Americas,419,Latin America and the Caribbean,South America,Chile,152,Developing,Chile,8273,94.0,2937.0,5242,389.0,433.0,5.0,91873.0,4806.0,19106236,63.0,23.0,28.0,86.0,31.0,68.0,Chile,1586131200,4471.0,20.0,8.405367376233981,0.00023400736806558864,-8.360157955642512,6.07073772800249,0.1676964182772545,5.3498840461632735,0.987656465970332,9.218172538371516e-17,0.006101428092821725,0.16769641827725454,-11.41564128571322,0.9876564659703322,9.218172538369942e-17,0.0061014280928216695
13,China,CHN,146.057646126616,13569.8915267324,1397028553.0,761027100,610192900,55.5,44.5,76.092,37.0,World,142,Asia,30,Eastern Asia,,China,156,Developing,China,82341,3342.0,77892.0,1107,95.0,57.0,2.0,,,1444578947,80.0,20.0,66.0,30.0,87.0,24.0,China,1581120000,34625.0,20.0,10.45233124348964,2.3968921928363117e-05,-10.638752486400803,4.04305126783455,0.2722468000359645,5.563571965376683,0.9863646424797782,2.3611972712086623e-16,0.010421044254597826,0.2722468000359646,-15.527511764513761,0.9863646424797782,2.3611972712086623e-16,0.010421044254597828
14,Colombia,COL,43.468857142857104,12985.383134526599,48228697.0,38469138,9759559,79.764,20.236,74.2,30.1,World,19,Americas,419,Latin America and the Caribbean,South America,Colombia,170,Developing,Colombia,3105,131.0,452.0,2522,106.0,61.0,3.0,45423.0,893.0,50901639,67.0,13.0,64.0,80.0,13.0,83.0,Colombia,1586304000,1780.0,20.0,7.484368643286131,3.496940442330354e-05,-10.261037038109126,4.110873864173311,0.13839608379561388,4.93373835522808,0.9850558944257674,5.611329284575319e-16,0.0055514631318526,0.13839608379561388,-12.811667326167177,0.9850558944257676,5.611329284574519e-16,0.005551463131852568
15,Costa Rica,CRI,94.160830395613,14738.607621090401,4807852.0,3695411,1112441,76.862,23.138,79.634,31.4,World,19,Americas,419,Latin America and the Caribbean,Central America,Costa Rica,188,Developing,Costa Rica,626,4.0,67.0,555,11.0,123.0,0.8,9089.0,1784.0,5089431,35.0,15.0,21.0,86.0,,,Costa Rica,1586476800,539.0,20.0,6.289715570908998,0.00010590574859940139,-9.15296102354973,4.812184355372417,0.07824317125397416,4.884041576746652,0.9706900179028655,3.1917812410468603e-13,0.004444327100537322,0.07824317125397413,-10.558635017712076,0.9706900179028654,3.191781241046985e-13,0.00444432710053733
16,Croatia,HRV,75.11801286633309,20983.9852751789,4236016.0,2360534,1843070,56.155,43.845001,77.2756097560976,42.599998,World,150,Europe,39,Southern Europe,,Croatia,191,Developed,Croatia,1741,33.0,473.0,1235,31.0,424.0,8.0,19256.0,4691.0,4106132,73.0,33.0,40.0,80.0,58.0,33.0,Croatia,1586390400,1343.0,20.0,7.202661196523238,0.000327071803829005,-8.025330827597026,6.049733455231958,0.11885502535281268,5.16315199037065,0.9525411379224019,2.8946401574966456e-11,0.008713964062307612,0.11885502535281268,-10.064840033749615,0.9525411379224019,2.8946401574966456e-11,0.008713964062307612
17,Cyprus,CYP,125.647727272727,30549.1009696787,1160985.0,777233,383752,66.946,33.054001,80.344,34.900002,World,142,Asia,145,Western Asia,,Cyprus,196,Developed,Cyprus,715,12.0,65.0,638,8.0,592.0,10.0,17923.0,14845.0,1207770,,,,,,70.0,Cyprus,1586736000,633.0,20.0,6.450470422144176,0.0005241064109888472,-7.553815819853851,6.3835066348840055,0.09262327971134322,4.791590711658448,0.9848397028952566,6.426305710996546e-16,0.003742780701718022,0.09262327971134322,-9.212695530339577,0.9848397028952566,6.426305710996546e-16,0.0037427807017180225
18,Czech Republic,CZE,136.57160062160102,30605.420521147098,10603762.0,7748928,2797131,73.477,26.523001,78.57804878048779,41.400002,World,150,Europe,151,Eastern Europe,,Czech Republic,203,Developed,Czech Republic,6301,166.0,819.0,5316,84.0,588.0,16.0,137672.0,12856.0,10715986,57.0,58.0,57.0,74.0,70.0,29.0,Czech Republic,1585785600,3589.0,20.0,8.185628891147607,0.00033492018373297615,-8.001618312040542,6.376726947898627,0.16727188946867114,5.16424596747939,0.9823386466155926,2.7149397322377222e-15,0.007309469295211824,0.1672718894686711,-11.023001235708758,0.9823386466155924,2.7149397322378867e-15,0.007309469295211846
19,Denmark,DNK,135.353250773994,45458.697148830994,5688695.0,4974525,708958,87.52600000000001,12.474,80.7024390243902,41.599998,World,150,Europe,154,Northern Europe,,Denmark,208,Developed,Denmark,6681,309.0,2748.0,3624,89.0,1153.0,53.0,77712.0,13417.0,5794449,18.0,74.0,16.0,23.0,35.0,70.0,Denmark,1585526400,2395.0,20.0,7.781138509845015,0.0004133266165600905,-7.791272438423183,7.050122520269059,0.10329129675023964,5.890711690218801,0.8869083315298157,8.52589865398335e-08,0.012342379656062134,0.10329129675023964,-9.681699258049399,0.8869083315298156,8.525898653983444e-08,0.012342379656062143
20,Dominican Republic,DOM,217.934050921134,13395.916802055,10528394.0,8271738,2256656,78.566,21.434,73.673,26.1,World,19,Americas,419,Latin America and the Caribbean,Caribbean,Dominican Republic,214,Developing,Dominican Republic,3614,189.0,208.0,3217,143.0,333.0,17.0,9275.0,855.0,10852853,65.0,30.0,65.0,45.0,13.0,54.0,Dominican Republic,1586563200,2620.0,20.0,7.8709295967551425,0.0002414111754761628,-8.329008955939246,5.808142489980444,0.13866846530559926,5.367797134559142,0.9648630074993577,1.7469654483721633e-12,0.008663306581098783,0.1386684653055993,-10.832141418135246,0.9648630074993577,1.7469654483721633e-12,0.008663306581098783
21,Ecuador,ECU,65.0038975680464,10749.1288738874,16144368.0,10235206,5909162,63.398,36.602001,76.102,26.6,World,19,Americas,419,Latin America and the Caribbean,South America,Ecuador,218,Developing,Ecuador,7858,388.0,780.0,6690,135.0,445.0,22.0,26093.0,1479.0,17658427,78.0,8.0,63.0,67.0,,,Ecuador,1586217600,3747.0,20.0,8.228710798793687,0.00021219330577972772,-8.458012879031635,6.09807428216624,0.16043471454500507,5.481959906595285,0.9438628738707021,1.3792463905002532e-10,0.012881621735015853,0.16043471454500507,-11.204763771230036,0.9438628738707021,1.3792463905002532e-10,0.012881621735015853
22,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,World,2,Africa,15,Northern Africa,,Egypt,818,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0,Egypt,1586044800,985.0,20.0,6.892641641172089,9.437125748502993e-06,-11.570859099963204,3.1780538303479458,0.09938718008790952,4.93842925545254,0.9859008263994004,3.2386266533944726e-16,0.0038698661558646164,0.09938718008790949,-13.525071485682757,0.9859008263994,3.238626653395188e-16,0.0038698661558646623
23,Estonia,EST,31.0310686482661,27549.581369737796,1315321.0,899949,415458,68.416,31.584,77.590243902439,41.599998,World,150,Europe,154,Northern Europe,,Estonia,233,Developed,Estonia,1400,35.0,117.0,1248,10.0,1055.0,26.0,33967.0,25606.0,1327014,40.0,60.0,30.0,60.0,82.0,16.0,Estonia,1585958400,961.0,20.0,6.8679744089702925,0.000724182261829943,-7.230467454401437,6.961296045910167,0.09335951821270057,5.056321989699987,0.9858528165220375,3.344300917217251e-16,0.003641482619460884,0.09335951821270055,-9.042119873671743,0.9858528165220374,3.3443009172174886e-16,0.0036414826194608985
24,Finland,FIN,18.030110888091897,38941.7636030551,5481966.0,4669930,809601,85.225,14.775,81.4804878048781,42.5,World,150,Europe,154,Northern Europe,,Finland,246,Developed,Finland,3237,72.0,300.0,2865,75.0,584.0,13.0,48828.0,8813.0,5542808,33.0,63.0,26.0,59.0,38.0,57.0,Finland,1585785600,1446.0,20.0,7.27655640271871,0.0002608786016040967,-8.251455386800794,6.369900982828227,0.11482573307446331,5.18271838955949,0.9918671650531765,1.779631905142106e-18,0.0033803376162766328,0.11482573307446331,-10.345293399960012,0.9918671650531763,1.779631905142574e-18,0.0033803376162766796
25,France,FRA,121.61905701141599,37766.374111687204,64457201.0,53044946,13548420,79.655,20.344998999999998,82.2731707317073,41.200001,World,150,Europe,155,Western Europe,,France,250,Developed,France,147863,17167.0,30955.0,99741,6457.0,2265.0,263.0,333807.0,5114.0,65281678,68.0,71.0,43.0,86.0,63.0,48.0,France,1584748800,12612.0,20.0,9.442404020664952,0.00019319356343750846,-8.551817952281677,7.725330037917135,0.24915795070738306,4.794175274923593,0.9936769611314392,1.6400560562544877e-19,0.006458669326818658,0.249157950707383,-13.200046698023037,0.993676961131439,1.640056056255024e-19,0.006458669326818773
26,Germany,DEU,234.153658068159,43937.9471317278,81707789.0,63062064,18624547,77.2,22.799999,80.64146341463409,45.900002,World,150,Europe,155,Western Europe,,Germany,276,Developed,Germany,134753,3804.0,72600.0,58349,4288.0,1608.0,45.0,1728357.0,20629.0,83801617,35.0,67.0,66.0,65.0,83.0,40.0,Germany,1584748800,18187.0,20.0,9.808462332127018,0.00021702445192674504,-8.43550052908185,7.382746449738912,0.25234992038518383,4.694421701527894,0.9962945663963642,1.03374757971769e-21,0.00499770295855768,0.2523499203851837,-13.549541159680976,0.9962945663963639,1.033747579718278e-21,0.004997702958557829
27,Greece,GRC,83.947889837083,24170.3018369872,11217800.0,8445266,2375617,78.046,21.954,81.0365853658537,43.299999,World,150,Europe,39,Southern Europe,,Greece,300,Developed,Greece,2192,102.0,269.0,1821,72.0,210.0,10.0,50771.0,4871.0,10438095,60.0,35.0,57.0,112.0,45.0,50.0,Greece,1585785600,1375.0,20.0,7.226209010100671,0.0001317290176033079,-8.934763642403821,5.3471075307174685,0.1037706640757876,5.311739108086181,0.978312845889317,1.880085786802867e-14,0.005040444158600707,0.10377066407578764,-10.849233544418313,0.9783128458893171,1.8800857868027805e-14,0.005040444158600696
28,Hong Kong,HKG,6944.095238095239,53591.835819824,7245701.0,7291300,0,100.0,0.0,84.2780487804878,43.200001,World,142,Asia,30,Eastern Asia,,Hong Kong,344,Developed,Hong Kong,1017,4.0,459.0,554,10.0,136.0,0.5,116273.0,15509.0,7477941,68.0,25.0,57.0,29.0,61.0,17.0,Hong Kong,1584921600,351.0,20.0,5.860786223465865,4.6938054205027826e-05,-9.966681821212095,4.912654885736052,0.058861932451156174,4.432455182423888,0.9432619914648412,1.5224435755534206e-10,0.004753659854804326,0.058861932451156236,-11.395012862254074,0.9432619914648412,1.5224435755534206e-10,0.004753659854804331
29,Hungary,HUN,108.726698332045,25034.450730660497,9783925.0,6939335,2903693,70.5,29.5,75.56829268292691,41.700001,World,150,Europe,151,Eastern Europe,,Hungary,348,Developed,Hungary,1579,134.0,192.0,1253,58.0,163.0,14.0,37326.0,3864.0,9687117,46.0,80.0,88.0,82.0,58.0,31.0,Hungary,1586476800,1190.0,20.0,7.081708586105575,0.00012284356635725572,-9.004598830272746,5.093750200806762,0.10984278568266582,4.947644342164075,0.98216122753473,2.983328268472392e-15,0.004824629007759384,0.10984278568266582,-11.138663074214245,0.9821612275347302,2.9833282684720315e-15,0.00482462900775936
30,Iceland,ISL,3.29990024937656,43048.125145278704,330243.0,309974,20841,93.7,6.3000002,82.4682926829268,36.0,World,150,Europe,154,Northern Europe,,Iceland,352,Developed,Iceland,1727,8.0,1077.0,642,8.0,5061.0,23.0,37386.0,109558.0,341237,30.0,60.0,10.0,50.0,28.0,67.0,Iceland,1585785600,1220.0,20.0,7.106606137727303,0.00357522777424488,-5.633726391790267,8.529319371214077,0.12558364580014833,4.8456855084376595,0.9840574095452304,1.033314571103076e-15,0.0052070579706726865,0.12558364580014833,-7.89464702107991,0.9840574095452302,1.033314571103142e-15,0.005207057970672706
31,India,IND,440.28601602992103,5756.66466489307,1309053980.0,429068623,879985357,32.777,67.223,68.30199999999999,26.700001,World,142,Asia,34,Southern Asia,,India,356,Developing,India,12370,422.0,1508.0,10440,,9.0,0.3,274599.0,199.0,1374444444,77.0,48.0,56.0,40.0,51.0,26.0,India,1586131200,4067.0,20.0,8.310660905907225,2.9590137438832702e-06,-12.730654539784,2.1972245773362196,0.17163706962034633,4.842323099762341,0.9958791387818158,2.8322700737073652e-21,0.0035858223466484276,0.17163706962034633,-16.198992345928882,0.9958791387818159,2.8322700737066403e-21,0.0035858223466483786
32,Indonesia,IDN,142.507390274734,10367.7019920006,258162113.0,137633967,120528146,53.313,46.687,69.025,28.0,World,142,Asia,35,South-eastern Asia,,Indonesia,360,Developing,Indonesia,5136,469.0,446.0,4221,,19.0,2.0,36000.0,132.0,270315789,78.0,14.0,46.0,48.0,62.0,38.0,Indonesia,1586044800,2092.0,20.0,7.645875825184813,7.739096586770223e-06,-11.76922559723048,2.9444389791664403,0.1492199224107508,4.970993246090192,0.9796559688471742,1.0295984822514109e-14,0.007012773115994739,0.1492199224107508,-14.444108176325106,0.9796559688471742,1.0295984822514109e-14,0.007012773115994739
33,Iran,IRN,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,29.5,World,142,Asia,34,Southern Asia,,Iran,364,Developing,Iran,76389,4777.0,49933.0,21679,3643.0,909.0,57.0,299204.0,3562.0,84036304,58.0,41.0,43.0,59.0,14.0,40.0,Iran,1584489600,16169.0,20.0,9.690851107739814,0.00019240493965560408,-8.55590834617656,6.812345094177479,0.21963931668553993,5.92913906138897,0.9476276233658634,7.238865652476998e-11,0.016982423835649327,0.21963931668554007,-12.317620392527406,0.9476276233658638,7.238865652476403e-11,0.016982423835649258
34,Iraq,IRQ,83.1544690550746,15072.8686710974,36115649.0,25252423,10863226,69.921,30.079,69.672,19.4,World,142,Asia,145,Western Asia,,Iraq,368,Developing,Iraq,1415,79.0,812.0,524,,35.0,2.0,46135.0,1147.0,40428571,95.0,30.0,70.0,85.0,25.0,17.0,Iraq,1586044800,878.0,20.0,6.777646593635117,2.171731471785139e-05,-10.737400702316375,3.5553480614894135,0.10454073105480213,4.784519763140291,0.9953730074314688,8.496510685110695e-21,0.0023151776456912885,0.10454073105480213,-12.730527532811198,0.9953730074314684,8.496510685118426e-21,0.002315177645691401
35,Ireland,IRL,68.2531136594571,60818.046239853604,4700107.0,2940510,1761447,62.538000000000004,37.462002000000005,81.45365853658541,36.900002,World,150,Europe,154,Northern Europe,,Ireland,372,Developed,Ireland,12547,444.0,77.0,12026,158.0,2541.0,90.0,90646.0,18358.0,4937820,28.0,70.0,68.0,35.0,24.0,65.0,Ireland,1585958400,4273.0,20.0,8.360071435644025,0.0008653616373217331,-7.052363060573986,7.840312983320164,0.17117226192527496,5.265207225623854,0.9801517880276047,8.16027023979224e-15,0.007942791977245596,0.17117226192527496,-10.147227270594158,0.9801517880276047,8.16027023979224e-15,0.007942791977245596
36,Israel,ISR,387.250462107209,32024.3527705394,8064547.0,7724692,655408,92.179,7.821000099999999,82.05121951219509,30.200001,World,142,Asia,145,Western Asia,,Israel,376,Developed,Israel,12501,130.0,2563.0,9808,180.0,1444.0,15.0,117339.0,13557.0,8657202,13.0,54.0,47.0,81.0,38.0,,Israel,1585872000,6252.0,20.0,8.740656691541368,0.0007221732841627121,-7.233245442102695,7.275172319452771,0.19683758070084686,5.142557662304958,0.9881477895013584,6.278963843542527e-17,0.0070150912567703075,0.19683758070084686,-10.831344471339104,0.9881477895013584,6.278963843542527e-17,0.0070150912567703075
37,Italy,ITA,206.468287210172,34302.0374026544,59504212.0,42247229,18483353,69.565,30.434998999999998,82.54390243902441,45.900002,World,150,Europe,39,Southern Europe,,Italy,380,Developed,Italy,165155,21645.0,38092.0,105418,3079.0,2732.0,358.0,1117404.0,18481.0,60452050,50.0,76.0,70.0,75.0,61.0,30.0,Italy,1584230400,21157.0,20.0,9.959726098983317,0.0003499798600709157,-7.957634947790983,7.912789220690681,0.24186620430214562,5.4248868844259945,0.9895436646388632,1.919735733988453e-17,0.008087790914929654,0.24186620430214562,-12.492474162348305,0.9895436646388629,1.919735733989026e-17,0.008087790914929786
38,Japan,JPN,348.751920122888,37882.980624441,127974958.0,116182717,10958283,91.381,8.619000400000001,83.79390243902441,46.299999,World,142,Asia,30,Eastern Asia,,Japan,392,Developed,Japan,8626,178.0,901.0,7547,168.0,68.0,1.0,94236.0,745.0,126852941,54.0,46.0,95.0,92.0,88.0,42.0,Japan,1584057600,675.0,20.0,6.51471269087253,5.321122196134184e-06,-12.143826337732284,4.219507705176107,0.08823659927101327,4.745839922650572,0.9950498742558831,1.6114449461930727e-20,0.0020216785630843693,0.08823659927101327,-13.912699105954243,0.9950498742558834,1.6114449461920528e-20,0.0020216785630843004
